compound,concentration_mM,annealing_T,molecular_weight,C,H,Br,I,N,Hbond_donor,rotatable_bond,topPolar_area,heavy_atom,complexity,xlogP,param1_r,param2_r,xinterp_r,max_x_r,param1_g,param2_g,xinterp_g,max_x_g,date
EAI,5,100,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3,1.666,-223.04,133.88,280.13,1.7329,-230.14,132.81,285.13,20190904
EAI,10,100,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3,1.2099,-226.95,187.57,310.13,1.2906,-243.67,188.8,295.13,20190904
EAI,15,100,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3,0.22518,-6.0187,26.728,390.17,0.2243,-3.8265,17.06,400.18,20190904
EAI,5,125,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3,2.1763,-262.55,120.64,240.12,1.9179,-222.7,116.11,245.12,20190904
EAI,10,125,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3,1.3397,-265.52,198.19,330.15,1.2292,-235.06,191.24,335.15,20190904
EAI,15,125,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3,0.97609,-231.06,236.72,375.17,1.0439,-250.31,239.79,375.17,20190904
FAI,10,100,171.969,1,5,0,1,2,2,0,51.6,4,7.5,-0.8,0.5182,-72.7685,140.4345,375.1333,0.5124,-67.1492,131.0485,375.1333,20190530
GI,10,100,186.984,1,6,0,1,3,3,0,77.6,5,18.8,-1.3,0.704,-11.7929,16.7507,195.0667,0.6678,-5.1238,7.6733,200.0667,20190530
IDI,10,100,195.991,3,5,0,1,2,2,0,28.7,6,28.1,0.2,0.84,-23.7868,28.3169,200.0667,0.7592,-12.2479,16.1323,200.0667,20190530
iPAI,10,100,187.024,3,10,0,1,1,2,0,26,5,10.8,0.1,0.3389,-18.0672,53.3131,295.1,0.3566,-15.7472,44.1574,295.1,20190530
OABr,5,100,210.159,8,20,1,0,1,1,6,27.6,10,43.8,3.1,1.0369,-32.7454,31.5807,185.05,1.2262,-38.2066,31.1598,185.05,20190530
OABr,10,100,210.159,8,20,1,0,1,1,6,27.6,10,43.8,3.1,1.0148,-143.2735,141.184,250.0833,1.0783,-149.1295,138.2963,250.0833,20190530
OABr,15,100,210.159,8,20,1,0,1,1,6,27.6,10,43.8,3.1,0.7843,-51.7933,66.0385,225.0667,0.8436,-54.1928,64.2407,215.0667,20190530
OAI,5,100,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1,0.7863,-95.2786,121.1682,285.1,0.859,-101.3659,118.0045,290.1,20190530
OAI,10,100,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1,0.8527,-76.4553,89.6661,250.0833,0.88,-69.938,79.475,250.0833,20190530
